id,cases
0.00456381,236.96
0.0224361,238.732
0.0593614,236.314
0.0957123,236.797
0.114223,235.346
0.150574,235.829
0.169052,234.54
0.205658,233.733
0.205882,232.605
0.24252,231.638
0.278488,234.054
0.278903,231.959
0.315381,231.798
0.315094,233.248
0.388402,231.152
0.388753,229.379
0.442913,231.956
0.479455,231.472
0.497168,234.05
0.551806,234.21
0.55222,232.115
0.588795,231.47
0.588316,233.887
0.624507,235.175
0.64305,233.563
0.679624,232.918
0.716486,230.823
0.753283,229.05
0.789347,230.982
0.807985,228.887
0.862655,228.886
0.89958,226.469
0.917963,225.663
0.935325,230.013
0.971644,230.656
1.00825,229.85
1.00796,231.3
1.02561,234.2
1.06171,235.972
1.09857,233.876
1.11635,236.132
1.18924,236.13
1.26315,230.973
1.29928,232.583
1.33617,230.327
1.37288,229.037
1.42764,228.553
1.42799,226.78
1.44679,223.88
1.46444,226.78
1.46425,227.746
1.48186,230.807
1.51828,230.968
1.51815,231.612
1.57282,231.611
1.57273,232.094
1.60917,232.094
1.60956,230.16
1.62778,230.16
1.62762,230.965
1.64584,230.965
1.64536,233.382
1.66333,234.671
1.69978,234.67
1.71813,234.025
1.75458,234.024
1.7547,233.38
1.77293,233.379
1.77318,232.09
1.79141,232.09
1.79182,229.995
1.8282,230.317
1.82833,229.672
1.86481,229.511
1.86465,230.316
1.9011,230.315
1.90103,230.638
1.95548,231.764
1.97399,230.314
1.99209,230.958
1.9918,232.408
2.0277,235.147
2.04567,236.435
2.10021,237.079
2.11847,236.917
2.11882,235.145
2.15555,233.694
2.19149,236.271
2.20939,237.882
2.22829,234.498
2.26489,233.692
2.30166,232.08
2.33839,230.629
2.39271,232.4
2.42919,232.238
2.42903,233.044
2.46541,233.365
2.48405,231.27
2.50183,233.526
2.51992,234.17
2.55589,236.586
2.61024,238.196
2.62808,240.129
2.64691,237.068
2.6832,237.872
2.70113,239.322
2.71958,238.194
2.7199,236.583
2.79286,236.259
2.81089,237.225
2.82962,234.647
2.86636,233.196
2.88468,232.712
2.90312,231.584
2.93951,231.906
2.97624,230.455
3.01313,228.199
3.03171,226.426
3.06774,228.52
3.17686,229.645
3.21356,228.356
3.24921,232.383
3.28578,231.738
3.34045,231.737
3.33981,234.959
3.37626,234.958
3.37747,228.836
3.4135,230.93
3.44998,230.768
3.46795,232.056
3.50433,232.378
3.50449,231.572
3.54094,231.571
3.54154,228.51
3.57802,228.348
3.57758,230.604
3.66793,234.469
3.72253,234.79
3.72279,233.501
3.75917,233.823
3.75888,235.273
3.7953,235.433
3.85016,234.465
3.86864,233.176
3.88718,231.564
3.90611,228.019
3.94249,228.341
3.97945,225.762
4.07012,228.016
4.08872,226.082
4.1064,228.821
4.12415,231.237
4.17863,232.203
4.23311,233.169
4.25162,231.718
4.27032,229.301
4.28819,231.073
4.36086,232.199
4.37934,230.91
4.41524,233.648
4.45191,232.52
4.48804,234.13
4.50649,233.002
4.50661,232.358
4.54306,232.357
4.54284,233.485
4.57909,234.451
4.59757,233.161
4.59799,231.067
4.63469,229.777
4.67046,233.16
4.68869,233.16
4.72584,229.614
4.76222,229.936
4.78099,227.196
4.83524,229.29
4.927,226.065
4.99899,230.575
5.03525,231.541
5.03563,229.608
5.12675,229.606
5.16275,231.861
5.2905,230.892
5.29092,228.797
5.32746,228.313
5.34597,226.863
5.41835,229.439
5.49169,227.182
5.52779,228.953
5.54569,230.564
5.58204,231.047
5.60049,229.919
5.61871,229.918
5.63646,232.335
5.65449,233.301
5.67278,232.979
5.69123,231.85
5.74631,229.755
5.74672,227.66
5.76495,227.66
5.78292,228.948
5.78272,229.915
5.80095,229.915
5.83752,229.269
5.85591,228.463
5.87381,230.074
5.89203,230.074
5.89162,232.169
5.94626,232.329
5.94657,230.717
6.01947,230.716
6.03791,229.588
6.05614,229.587
6.05579,231.36
6.09179,233.615
6.12823,233.614
6.16497,232.163
6.16474,233.291
6.21948,232.968
6.23799,231.517
6.27415,232.966
6.31066,232.643
6.32901,231.999
6.32974,228.293
6.34825,226.842
6.38448,227.969
6.42134,225.874
6.4574,227.807
6.51236,226.356
6.54874,226.677
6.56754,223.777
6.60341,226.676
6.62128,228.448
6.69395,229.574
6.71122,234.408
6.74728,236.34
6.78408,234.567
6.80163,237.951
6.82024,236.017
6.89317,235.854
6.89355,233.921
6.94844,232.792
6.94825,233.758
6.9847,233.758
6.98527,230.858
7.02197,229.568
7.07639,230.856
7.09474,230.211
7.1129,230.533
7.13029,234.722
7.12985,236.977
7.16613,237.782
7.18445,237.298
7.20299,235.687
7.23883,238.747
7.25715,238.264
7.29373,237.618
7.3123,235.846
7.34856,236.812
7.34884,235.362
7.38529,235.361
7.40342,235.844
7.42126,237.777
7.43974,236.488
7.44089,230.687
7.45924,230.042
7.48062,214.091
7.49884,214.091
7.51391,230.041
7.53184,231.491
7.5501,231.33
7.56861,229.879
7.5868,230.04
7.58661,231.007
7.60483,231.006
7.60442,233.101
7.69541,233.743
7.71385,232.615
7.75036,232.292
7.76852,232.614
7.78659,233.419
7.78646,234.064
7.82271,235.03
7.85916,235.029
7.86028,229.39
7.8785,229.389
7.91389,234.706
7.93205,235.028
7.95028,235.027
7.95289,221.815
7.97112,221.815
7.96968,229.065
8.04312,226.325
8.04344,224.714
8.06166,224.713
8.07934,227.452
8.13417,226.645
8.13481,223.423
8.15303,223.422
8.17078,225.839
8.19146,213.432
8.21041,209.726
8.22864,209.726
8.22771,214.398
8.24511,218.587
8.28152,218.747
8.28404,206.019
8.30214,206.663
8.31947,211.174
8.33629,218.263
8.3547,217.296
8.37312,216.329
8.39166,214.717
8.41087,209.722
8.42906,209.883
8.42868,211.816
8.4649,212.943
8.50128,213.265
8.50157,211.815
8.52011,210.203
8.53802,211.814
8.55656,210.202
8.57482,210.041
8.57577,205.207
8.61216,205.529
8.63233,195.7
8.64854,205.85
8.66651,207.139
8.68499,205.85
8.68511,205.205
8.6853,204.238
8.70353,204.238
8.70436,200.049
8.72258,200.048
8.72089,208.588
8.73911,208.588
8.75769,206.815
8.79413,206.814
8.81127,212.292
8.8475,213.419
8.86623,210.841
8.87022,190.701
8.88844,190.7
8.90507,198.756
8.90261,211.162
8.92084,211.162
8.95923,201.333
8.97793,198.916
9.04518,227.433
9.0634,227.432
9.11919,221.792
9.19189,222.757
9.21069,219.857
9.22939,217.439
9.28406,217.438
9.28265,224.528
9.30088,224.527
9.31923,223.882
9.31881,225.977
9.33704,225.977
9.33605,230.971
9.37243,231.293
9.39065,231.292
9.39119,228.553
9.41015,224.847
9.42876,222.913
9.44985,208.412
9.48576,211.15
9.50283,216.95
9.55616,223.716
9.57372,227.1
9.6115,220.332
9.64728,223.715
9.66569,222.748
9.68433,220.653
9.70287,219.041
9.75675,223.068
9.757,221.779
9.79345,221.778
9.84726,226.127
9.84783,223.227
9.90228,224.354
9.90266,222.421
9.93917,222.098
9.95685,224.836
9.97543,223.064
9.97683,215.974
9.99505,215.974
10.0126,219.518
10.0117,223.707
10.03,223.707
10.0307,220.001
10.0489,220.001
10.0487,220.967
10.067,220.967
10.0662,224.995
10.0844,225.156
10.0849,222.578
10.1031,222.578
10.103,223.222
10.1212,223.222
10.1391,224.994
10.1389,225.96
10.1571,225.96
10.2302,224.831
10.2308,221.931
10.267,223.058
10.2853,222.574
10.3037,221.607
10.303,225.152
10.3206,228.535
10.3751,229.178
10.3933,229.178
10.4117,228.372
10.4123,225.31
10.4671,224.665
10.4856,223.214
10.522,223.858
10.5586,222.891
10.5769,222.407
10.5765,224.34
10.6128,225.306
10.6489,227.078
10.6672,226.433
10.668,222.566
10.6862,222.566
10.7042,224.016
10.7038,225.788
10.7585,225.948
10.7585,225.465
10.7768,225.464
10.7773,222.886
10.7957,221.758
10.814,221.758
10.8131,226.108
10.8313,226.108
10.8312,226.913
10.8492,227.718
10.8674,227.718
10.8858,227.073
10.9041,226.589
10.9405,227.072
10.9587,227.072
10.9591,224.977
10.9955,224.976
10.9954,225.782
10.9949,228.199
11.0311,229.487
11.0331,219.175
11.0533,209.347
11.09,208.057
11.1065,216.918
11.1039,229.969
11.1221,229.969
11.1405,229.324
11.1612,216.917
11.1622,211.439
11.1809,209.344
11.1995,207.088
11.2178,207.088
11.2164,214.177
11.2511,222.877
11.2505,225.777
11.287,225.776
11.2685,227.227
11.3049,227.226
11.3235,225.453
11.3254,215.786
11.3436,215.786
11.3423,222.23
11.3602,224.163
11.3781,225.613
11.3963,225.613
11.4148,224.162
11.4331,224.001
11.4327,226.257
11.4509,226.256
11.4505,228.029
11.4687,228.028
11.4688,227.867
11.5053,227.705
11.5057,225.611
11.5239,225.61
11.5418,227.06
11.5598,228.349
11.5961,229.153
11.5997,210.786
11.6168,216.425
11.6534,215.779
11.6502,231.73
11.6685,231.73
11.6869,230.441
11.6882,224.318
11.7248,223.512
11.7426,225.445
11.7788,226.572
11.8154,226.088
11.8332,227.86
11.8881,226.731
11.9231,234.464
11.9599,232.369
11.9969,229.468
12.0337,227.856
12.0697,230.111
12.0694,231.561
12.124,232.043
12.1264,219.959
12.1446,219.959
12.1617,225.436
12.1606,231.237
12.1788,231.236
12.1784,233.492
12.196,236.553
12.2142,236.553
12.2331,233.33
12.234,228.496
12.2525,227.046
12.2901,221.406
12.3083,221.405
12.3061,232.523
12.3241,233.972
12.3787,234.294
12.379,232.844
12.4698,234.292
12.4885,231.713
12.5067,231.713
12.5248,232.679
12.543,232.518
12.5442,226.718
12.5629,224.139
12.5811,224.139
12.5797,231.228
12.598,231.228
12.6164,229.939
12.6345,230.744
12.6339,233.966
12.6714,228.648
12.7067,234.448
12.7245,236.542
12.7791,236.702
12.7978,234.446
12.8159,234.929
12.8339,236.218
12.8701,237.184
12.8884,236.861
12.8886,235.895
12.9068,235.894
12.907,234.927
12.9254,234.121
12.9614,236.538
12.9624,231.221
12.9808,230.576
12.999,230.575
13.0169,232.186
13.0352,231.702
13.0357,229.286
13.0726,226.868
13.109,227.19
13.1087,228.479
13.1267,229.928
13.1446,231.539
13.1628,231.539
13.1815,229.444
13.1808,232.666
13.2168,234.921
13.235,234.921
13.2534,234.115
13.2722,231.053
13.2916,225.252
13.3107,221.063
13.3474,219.773
13.3652,221.706
13.3834,221.706
13.4017,221.383
13.4019,220.417
13.4384,220.416
13.4579,213.971
13.4594,206.237
13.4776,206.236
13.4943,213.97
13.4927,222.026
13.5291,222.347
13.5475,221.219
13.5463,227.503
13.5823,229.919
13.6554,228.951
13.6571,220.089
13.676,216.866
13.6942,216.866
13.6933,221.377
13.7107,225.566
13.7658,223.148
13.7826,230.721
13.801,229.754
13.8016,226.853
13.838,226.853
13.856,227.819
13.8743,227.658
13.8756,221.213
13.9128,217.345
13.9115,223.79
13.9294,225.401
13.9476,225.4
13.9486,220.567
13.9668,220.566
13.9662,223.467
13.9845,223.466
13.9841,225.4
14.0023,225.399
14.002,226.849
14.0202,226.849
14.0202,227.01
14.0565,227.654
14.0747,227.653
14.075,226.526
14.0938,223.625
14.1116,225.397
14.1298,225.558
14.1295,227.33
14.1477,227.33
14.1474,228.619
14.1657,228.618
14.1655,229.263
14.202,229.262
14.2203,228.94
14.2206,227.328
14.2754,226.683
14.2759,224.105
14.2941,224.104
14.2939,225.071
14.3306,223.943
14.3484,225.876
14.3663,227.486
14.4024,229.258
14.4222,221.524
14.4404,221.524
14.4575,227.162
14.458,224.584
14.4775,218.3
14.4957,218.3
14.531,224.261
14.5479,231.027
14.5848,228.61
14.6033,227.321
14.6398,226.837
14.6584,225.225
14.6621,206.535
14.6813,201.701
14.6997,200.573
14.718,200.25
14.7356,203.15
14.7521,212.172
14.7699,213.944
14.7685,221.195
14.805,221.194
14.8233,220.388
14.8417,219.582
14.859,224.415
14.8954,224.576
14.9165,210.074
14.9183,201.213
14.9356,205.563
14.9509,220.547
14.9867,223.768
15.024,219.417
15.0415,222.8
15.0592,225.7
15.0771,227.311
15.1134,227.794
15.15,227.471
15.1685,226.02
15.1688,224.248
15.2066,217.48
15.2248,217.48
15.2234,224.891
15.2587,230.53
15.2769,230.529
15.2954,229.401
15.3139,227.79
15.3323,226.823
15.3508,225.372
15.3696,222.794
15.3887,217.96
15.4069,218.121
15.4054,225.693
15.4237,225.693
15.4422,223.92
15.4609,221.664
15.4801,216.669
15.5009,203.779
15.5193,202.651
15.5376,202.65
15.5361,209.901
15.5726,209.9
15.5709,218.278
15.5882,222.951
15.6064,222.95
15.5877,225.69
15.6241,225.528
15.6429,222.788
15.6445,214.732
15.6809,214.731
15.6802,218.76
15.6974,223.593
15.7156,223.592
15.7176,213.764
15.7537,215.536
15.7556,205.868
15.7911,210.54
15.8104,205.223
15.8283,206.672
15.8273,211.989
15.8455,211.989
15.8642,209.733
15.866,200.549
15.8869,186.853
15.9064,180.408
15.9244,181.697
15.961,180.729
15.9595,188.624
15.9777,188.624
15.9764,195.391
16.0311,195.068
16.0294,203.768
16.0837,205.539
16.1011,209.406
16.1721,218.911
16.2088,218.104
16.2286,209.726
16.264,215.203
16.2826,213.108
16.3002,216.652
16.336,219.874
16.3727,218.584
